line_id	speaker_jp	speaker_en	note
A1:0090	ウェイター	Waiter	Off-screen arrival
A1:0094	ウェイター	Waiter	Identity not yet stated
A1:0106	ウェイター	Waiter	Same conversation
A1:0108	ウェイター	Waiter	Same conversation
A1:0113	ウェイター	Waiter	Same conversation
A1:0115	ウェイター	Waiter	Same conversation
A1:0118	ウェイター	Waiter	Same conversation
A1:0232	馬明	Ma Ming	Telephone
A1:0235	馬明	Ma Ming	Telephone
A1:0237	馬明	Ma Ming	Telephone
A1:0239	馬明	Ma Ming	Telephone
A1:0241	馬明	Ma Ming	Telephone
A1:0243	馬明	Ma Ming	Telephone
A1:0254	男の声	Man's Voice	Name revealed after the line
A1:0371	ブラジル人の運転手	Brazilian Driver	Unnamed character
A1:0374	ブラジル人の運転手	Brazilian Driver	Unnamed character
A1:0376	ブラジル人の運転手	Brazilian Driver	Unnamed character
A1:0380	ブラジル人の運転手	Brazilian Driver	Unnamed character
A1:0383	ブラジル人の運転手	Brazilian Driver	Unnamed character
A1:0386	ブラジル人の運転手	Brazilian Driver	Unnamed character
A1:0960	女の声	Woman's Voice	Off-screen crowd
A1:0964	通行人	Bystander	Off-screen crowd
A2-1:0008	研究室のボス	Research Supervisor	Telephone; unnamed role
A2-1:0012	研究室のボス	Research Supervisor	Telephone; unnamed role
A2-1:0032	研究室のボス	Research Supervisor	Telephone; unnamed role
A2-1:0035	研究室のボス	Research Supervisor	Telephone; unnamed role
A2-1:0037	研究室のボス	Research Supervisor	Telephone; unnamed role
A2-1:0086	馬明	Ma Ming	Telephone
A2-1:0092	馬明	Ma Ming	Telephone
A2-1:0227	クリス・ツェー	Chris Tse	Named in preceding narration
A2-1:0233	クリス・ツェー	Chris Tse	Named in preceding narration
A2-1:0443	汐松子	Matsuko Shio	Telephone
A2-1:0446	汐松子	Matsuko Shio	Telephone
A2-1:0449	汐松子	Matsuko Shio	Telephone
A2-1:0451	汐松子	Matsuko Shio	Telephone
A2-1:0453	汐松子	Matsuko Shio	Telephone
A2-2:0083	馬美美	Ma Meimei	Named before this line
A5:0532	女性の通報者	Female Caller	Unidentified caller
A5:0887	ジェフリー・ウォン	Jeffrey Wong	Remote conversation
A5:0889	ジェフリー・ウォン	Jeffrey Wong	Remote conversation
A5:0893	ジェフリー・ウォン	Jeffrey Wong	Remote conversation
A5:0895	ジェフリー・ウォン	Jeffrey Wong	Remote conversation
A6:0127	医師の妻	Doctor's Wife	Intercom; unnamed role
A6:0130	医師の妻	Doctor's Wife	Intercom; unnamed role
A6:0133	医師の妻	Doctor's Wife	Intercom; unnamed role
A6:0135	医師の妻	Doctor's Wife	Intercom; unnamed role
A6:0137	医師の妻	Doctor's Wife	Intercom; unnamed role
A6:0139	医師の妻	Doctor's Wife	Intercom; unnamed role
A6:0141	医師の妻	Doctor's Wife	Intercom; unnamed role
a8:0228	馬世傑	Ma Sai-ki	Telephone
a8:0232	馬世傑	Ma Sai-ki	Telephone
a8:0414	三芳星	Hikari Miyoshi	Telephone
a8:0418	三芳星	Hikari Miyoshi	Telephone
a8:0421	三芳星	Hikari Miyoshi	Telephone
a8:0424	三芳星	Hikari Miyoshi	Telephone
B2:0070	老人の声	Elderly Caller	Identity not stated in the call
B2:0074	老人の声	Elderly Caller	Identity not stated in the call
B4-2:0017	熨田さくら	Sakura Noshida	Telephone
B4-2:0020	熨田さくら	Sakura Noshida	Telephone
B4-2:0025	熨田さくら	Sakura Noshida	Telephone
B4-2:0027	熨田さくら	Sakura Noshida	Telephone
B4-2:0029	熨田さくら	Sakura Noshida	Telephone
B4-2:0031	熨田さくら	Sakura Noshida	Telephone
B4-2:0038	熨田さくら	Sakura Noshida	Telephone
B4-2:0041	熨田さくら	Sakura Noshida	Telephone
B4-2:0044	熨田さくら	Sakura Noshida	Telephone
B4-2:0046	熨田さくら	Sakura Noshida	Telephone
B6:0532	カミラ・ノーサム	Camilla Northam	Headset
B6:0568	カミラ・ノーサム	Camilla Northam	Headset
B6:0685	狙撃手	Sniper	Headset; name not established here
B6:0696	狙撃手	Sniper	Headset; name not established here
B6:0698	カミラ・ノーサム	Camilla Northam	Headset
B6:0711	カミラ・ノーサム	Camilla Northam	Headset
B6:0714	カミラ・ノーサム	Camilla Northam	Headset
B6:0936	カミラ・ノーサム	Camilla Northam	Headset
B6:0939	カミラ・ノーサム	Camilla Northam	Headset
B6:0941	カミラ・ノーサム	Camilla Northam	Headset
B6:0945	カミラ・ノーサム	Camilla Northam	Headset
C2:0672	録音音声	Recorded Voice	Recorded presentation
D2:0083	謝筱喬	Siu-kiu Tse	Telephone
D2:0086	謝筱喬	Siu-kiu Tse	Telephone
D2:0088	謝筱喬	Siu-kiu Tse	Telephone
D2:0091	謝筱喬	Siu-kiu Tse	Telephone
D2:0094	謝筱喬	Siu-kiu Tse	Telephone
D2:0097	謝筱喬	Siu-kiu Tse	Telephone
D2:0100	謝筱喬	Siu-kiu Tse	Telephone
D5:0106	謝亮	Tse Long	Telephone
E5:0073	三芳星	Hikari Miyoshi	Telephone
E5:0075	三芳星	Hikari Miyoshi	Telephone
E5:0078	三芳星	Hikari Miyoshi	Telephone
E5:0080	三芳星	Hikari Miyoshi	Telephone
E5:0087	三芳星	Hikari Miyoshi	Telephone
E5:0089	三芳星	Hikari Miyoshi	Telephone
E5:0094	三芳星	Hikari Miyoshi	Telephone
E5:0096	三芳星	Hikari Miyoshi	Telephone
E5:0194	男性使用人	Male Servant	Intercom; unnamed role
E5:0197	男性使用人	Male Servant	Intercom; unnamed role
E5:0199	男性使用人	Male Servant	Intercom; unnamed role
E5:0206	男性使用人	Male Servant	Intercom; unnamed role
F2:0303	男の声	Man's Voice	Overheard conversation
F2:0306	別の男の声	Second Man's Voice	Overheard conversation
F3:0285	深沢聡	Satoshi Fukazawa	Telephone
F3:0287	深沢聡	Satoshi Fukazawa	Telephone
F3:0291	深沢聡	Satoshi Fukazawa	Telephone
F3:0481	担任教師	Homeroom Teacher	Telephone; unnamed role
F3:0486	担任教師	Homeroom Teacher	Telephone; unnamed role
F3:0488	担任教師	Homeroom Teacher	Telephone; unnamed role
F3:0490	担任教師	Homeroom Teacher	Telephone; unnamed role
F3:0497	担任教師	Homeroom Teacher	Telephone; unnamed role
F3:0600	深沢聡	Satoshi Fukazawa	Telephone
F3:0602	深沢聡	Satoshi Fukazawa	Telephone
F3:0604	深沢聡	Satoshi Fukazawa	Telephone
F3:0606	深沢聡	Satoshi Fukazawa	Telephone
F3:0608	深沢聡	Satoshi Fukazawa	Telephone
F4:0172	サーシェンカ	Sashenka	Telephone
F4:0174	サーシェンカ	Sashenka	Telephone
F5:0157	店員	Store Clerk	Unnamed role
F5:0159	店員	Store Clerk	Unnamed role
F5:0186	店員	Store Clerk	Unnamed role
F5:0295	店員	Attendant	Unnamed role
F5:0371	群衆の男	Man in the Crowd	Unnamed role
F5:0456	チャーリー	Charlie	Named shortly afterward
F5:0461	チャーリー	Charlie	Named in the line
